rebalance_date,ticker,weight,method,fund,family,sector,sentiment_signal
2020-12-31,ABBV,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,ABT,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,ADBE,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,AEP,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,AMD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,AMGN,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,AMT,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,BA,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,CAT,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,CCI,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,CMCSA,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,COP,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,CVX,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,D,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,DD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,DIS,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,DOW,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,DUK,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,EA,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,GE,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,GILD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,GS,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,INTC,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,KO,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,MMM,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,MRK,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,MS,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,NEE,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,NEM,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,NKE,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,NUE,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,NVDA,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,O,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,OXY,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,PLD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,PSA,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,QCOM,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,SBUX,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,SHW,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,SLB,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,SO,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,T,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,TMUS,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,TTWO,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,UPS,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,USB,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,V,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,WFC,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,WMT,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,XOM,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,ADA-USD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,BCH-USD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,BTC-USD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,EOS-USD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,ETC-USD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,ETH-USD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,LTC-USD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,TRX-USD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,XLM-USD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2020-12-31,XRP-USD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,ABBV,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,ABT,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,ADBE,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,AEP,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,AMD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,AMGN,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,AMT,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,BA,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,CAT,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,CCI,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,CMCSA,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,COP,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,CVX,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,D,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,DD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,DIS,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,DOW,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,DUK,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,EA,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,GE,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,GILD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,GS,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,INTC,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,KO,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,MMM,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,MRK,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,MS,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,NEE,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,NEM,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,NKE,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,NUE,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,NVDA,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,O,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,OXY,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,PLD,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,PSA,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,QCOM,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,SBUX,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,SHW,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,SLB,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,SO,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
2021-01-29,T,0.016666666666666666,equal_weight,Combined Equal Weight,Combined,,
